"year","orig_msa","orig_fred_flag","dest_msa","dest_fred_flag","person_trips","auto_trips"
2020,0,0,0,0,711159,698009
2020,0,0,0,1,27818,26560
2020,0,0,1,0,6916,6753
2020,0,0,2,0,6598,6471
2020,0,0,3,0,10960,10797
2020,0,1,0,0,26391,25324
2020,0,1,0,1,174460,171697
2020,1,0,0,0,8172,8009
2020,1,0,1,0,1016830,1002827
2020,1,0,3,0,4061,4016
2020,1,0,4,0,2388,2372
2020,1,0,5,0,165,165
2020,2,0,0,0,6580,6451
2020,2,0,2,0,520893,510177
2020,2,0,3,0,1338,1284
2020,3,0,0,0,10990,10833
2020,3,0,1,0,4184,4136
2020,3,0,2,0,1374,1323
2020,3,0,3,0,543359,534244
2020,3,0,5,0,1,1
2020,3,0,6,0,159,159
2020,4,0,1,0,2286,2274
2020,4,0,4,0,403941,393294
2020,4,0,5,0,14116,13553
2020,5,0,1,0,12,12
2020,5,0,3,0,1,1
2020,5,0,4,0,14072,13511
2020,5,0,5,0,516713,502345
2020,6,0,3,0,183,182
2020,6,0,6,0,15748,15495
